TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age,Quantity_Norm,UnitPrice_Norm,Age_Norm,Clusters
1,CUST2620,24-04-2024,Dress,Women'S Wear,2,1442.0,Mumbai,Female,65,0.25,0.28851540616246496,0.726027397260274,2
1,CUST2620,24-04-2024,Handbag,Accessories,2,3978.0,Bangalore,Male,55,0.25,0.7959183673469388,0.589041095890411,1
2,CUST1409,10-09-2025,Jeans,Bottomwear,1,4821.0,Bangalore,Male,36,0.0,0.9645858343337335,0.3287671232876712,1
2,CUST1409,10-09-2025,Belt,Accessories,3,4013.0,Bangalore,Female,58,0.5,0.8029211684673869,0.6301369863013698,1
2,CUST1409,10-09-2025,Shorts,Bottomwear,3,4861.0,Mumbai,Male,32,0.5,0.9725890356142457,0.273972602739726,1
2,CUST1409,10-09-2025,Sneakers,Footwear,4,3540.0,Bangalore,Female,59,0.75,0.7082833133253301,0.6438356164383562,0
3,CUST0193,22-04-2024,Sneakers,Footwear,4,4133.0,Bangalore,Male,51,0.75,0.8269307723089235,0.5342465753424658,0
3,CUST0193,22-04-2024,Socks,Footwear,3,4399.0,Pune,Male,29,0.5,0.8801520608243297,0.2328767123287671,1
3,CUST0193,22-04-2024,Watch,Accessories,1,1215.0,Pune,Male,41,0.0,0.24309723889555823,0.3972602739726027,2
3,CUST0193,22-04-2024,T-Shirt,Topwear,2,4192.0,Delhi,Male,53,0.25,0.8387354941976791,0.5616438356164384,1
4,CUST1850,05-03-2024,Jeans,Bottomwear,2,357.0,Thane,Male,22,0.25,0.07142857142857142,0.136986301369863,2
4,CUST1850,03-05-2024,Belt,Accessories,5,4171.0,Bangalore,Male,33,1.0,0.8345338135254101,0.2876712328767123,0
4,CUST1850,05-03-2024,Cap,Accessories,1,3597.0,Delhi,Male,64,0.0,0.71968787515006,0.7123287671232876,1
5,CUST0402,21-02-2024,Shirt,Topwear,1,2235.0,Pune,Male,28,0.0,0.44717887154861946,0.2191780821917808,2
5,CUST0402,21-02-2024,Tie,Accessories,5,4285.0,Bangalore,Male,27,1.0,0.85734293717487,0.2054794520547945,0
6,CUST0329,09-07-2024,Jeans,Bottomwear,1,4965.0,Thane,Female,33,0.0,0.9933973589435774,0.2876712328767123,1
6,CUST0329,07-09-2024,Belt,Accessories,1,375.0,Delhi,Male,47,0.0,0.07503001200480192,0.4794520547945205,2
6,CUST0329,09-07-2024,Cap,Accessories,3,4632.0,Pune,Male,18,0.5,0.9267707082833133,0.0821917808219178,1
7,CUST0834,04-12-2025,Dress,Women'S Wear,1,1055.0,Pune,Female,41,0.0,0.2110844337735094,0.3972602739726027,2
7,CUST0834,04-12-2025,Handbag,Accessories,5,594.0,Thane,Female,41,1.0,0.11884753901560624,0.3972602739726027,0
7,CUST0834,04-12-2025,Skirt,Women'S Wear,3,4885.0,Pune,Female,41,0.5,0.977390956382553,0.3972602739726027,1
8,CUST2744,11-09-2024,Jacket,Outerwear,4,616.0,Pune,Female,48,0.75,0.12324929971988796,0.4931506849315068,0
8,CUST2744,11-09-2024,Scarf,Accessories,5,3573.0,Thane,Male,61,1.0,0.7148859543817527,0.6712328767123288,0
9,CUST1788,12-09-2025,Socks,Footwear,5,4709.0,Nashik,Female,61,1.0,0.9421768707482994,0.6712328767123288,0
9,CUST1788,09-12-2025,Hoodie,Topwear,5,2832.0,Pune,Male,60,1.0,0.5666266506602641,0.6575342465753424,0
9,CUST1788,09-12-2025,Belt,Accessories,1,2788.0,Nashik,Female,36,0.0,0.5578231292517006,0.3287671232876712,1
9,CUST1788,12-09-2025,Watch,Accessories,1,2623.0,Bangalore,Male,41,0.0,0.5248099239695878,0.3972602739726027,2
10,CUST1866,28-02-2025,Hoodie,Topwear,2,344.0,Mumbai,Female,24,0.25,0.06882753101240496,0.1643835616438356,2
10,CUST1866,28-02-2025,Socks,Footwear,5,2898.0,Pune,Female,46,1.0,0.5798319327731093,0.4657534246575342,0
11,CUST1985,03-10-2025,Hoodie,Topwear,3,2219.0,Pune,Male,35,0.5,0.44397759103641454,0.3150684931506849,2
11,CUST1985,10-03-2025,Cap,Accessories,2,3740.0,Nashik,Female,42,0.25,0.7482993197278912,0.410958904109589,1
12,CUST2237,09-09-2025,Cap,Accessories,3,3611.0,Nashik,Male,64,0.5,0.7224889955982393,0.7123287671232876,1
12,CUST2237,09-09-2025,Watch,Accessories,4,2980.0,Nashik,Female,31,0.75,0.5962384953981593,0.2602739726027397,0
12,CUST2237,09-09-2025,Jeans,Bottomwear,1,553.0,Nashik,Male,33,0.0,0.11064425770308123,0.2876712328767123,2
13,CUST2943,27-04-2024,Tie,Accessories,2,921.0,Bangalore,Female,55,0.25,0.1842737094837935,0.589041095890411,2
13,CUST2943,27-04-2024,Jeans,Bottomwear,1,4443.0,Nashik,Male,59,0.0,0.8889555822328932,0.6438356164383562,1
13,CUST2943,27-04-2024,Socks,Footwear,3,4707.0,Pune,Female,48,0.5,0.9417767106842737,0.4931506849315068,1
14,CUST1378,30-01-2024,Dress,Women'S Wear,4,2036.0,Delhi,Female,40,0.75,0.4073629451780712,0.3835616438356164,0
14,CUST1378,30-01-2024,Handbag,Accessories,4,3970.0,Bangalore,Female,19,0.75,0.7943177270908364,0.0958904109589041,0
15,CUST1859,04-10-2024,Sneakers,Footwear,2,2883.0,Pune,Male,25,0.25,0.5768307322929171,0.1780821917808219,1
15,CUST1859,04-10-2024,Socks,Footwear,3,2162.0,Mumbai,Female,41,0.5,0.43257302921168467,0.3972602739726027,2
16,CUST2352,18-10-2024,Hoodie,Topwear,3,4212.0,Pune,Male,25,0.5,0.8427370948379351,0.1780821917808219,1
16,CUST2352,18-10-2024,Cap,Accessories,5,2147.0,Thane,Female,51,1.0,0.4295718287314926,0.5342465753424658,0
16,CUST2352,18-10-2024,Handbag,Accessories,1,1585.0,Thane,Female,41,0.0,0.3171268507402961,0.3972602739726027,2
17,CUST2416,08-11-2025,Watch,Accessories,2,883.0,Nashik,Female,21,0.25,0.17667066826730693,0.1232876712328767,2
17,CUST2416,08-11-2025,Cap,Accessories,5,625.0,Bangalore,Male,45,1.0,0.1250500200080032,0.4520547945205479,0
17,CUST2416,08-11-2025,Dress,Women'S Wear,2,4153.0,Bangalore,Female,51,0.25,0.8309323729491797,0.5342465753424658,1
18,CUST1351,25-02-2025,Dress,Women'S Wear,1,2875.0,Bangalore,Female,34,0.0,0.5752300920368147,0.3013698630136986,1
18,CUST1351,25-02-2025,Handbag,Accessories,1,1966.0,Mumbai,Female,41,0.0,0.3933573429371749,0.3972602739726027,2
18,CUST1351,25-02-2025,Socks,Footwear,4,1261.0,Nashik,Female,59,0.75,0.2523009203681473,0.6438356164383562,0
18,CUST1351,25-02-2025,Belt,Accessories,2,870.0,Mumbai,Female,35,0.25,0.17406962785114047,0.3150684931506849,2
19,CUST1984,19-12-2024,Shirt,Topwear,2,2255.0,Bangalore,Female,54,0.25,0.4511804721888755,0.5753424657534246,2
19,CUST1984,19-12-2024,Tie,Accessories,4,602.0,Mumbai,Female,26,0.75,0.12044817927170869,0.1917808219178082,0
19,CUST1984,19-12-2024,Shorts,Bottomwear,3,3072.0,Thane,Female,57,0.5,0.6146458583433373,0.6164383561643836,1
20,CUST1178,20-08-2024,Sneakers,Footwear,1,2956.0,Delhi,Female,21,0.0,0.5914365746298519,0.1232876712328767,1
20,CUST1178,20-08-2024,Handbag,Accessories,5,1471.0,Nashik,Male,32,1.0,0.2943177270908363,0.273972602739726,0
20,CUST1178,20-08-2024,Tie,Accessories,4,2347.0,Mumbai,Female,47,0.75,0.4695878351340536,0.4794520547945205,0
21,CUST1622,08-10-2024,Jacket,Outerwear,2,3185.0,Bangalore,Female,41,0.25,0.6372549019607843,0.3972602739726027,1
21,CUST1622,08-10-2024,Scarf,Accessories,3,3702.0,Delhi,Female,29,0.5,0.7406962785114045,0.2328767123287671,1
21,CUST1622,08-10-2024,Belt,Accessories,3,1242.0,Delhi,Female,47,0.5,0.24849939975990396,0.4794520547945205,2
21,CUST1622,10-08-2024,Skirt,Women'S Wear,5,3420.0,Delhi,Female,58,1.0,0.6842737094837935,0.6301369863013698,0
22,CUST1238,26-10-2025,Sneakers,Footwear,1,2792.0,Nashik,Female,49,0.0,0.558623449379752,0.5068493150684932,1
22,CUST1238,26-10-2025,Socks,Footwear,1,4307.0,Pune,Female,57,0.0,0.8617446978791516,0.6164383561643836,1
23,CUST1470,03-03-2024,Sneakers,Footwear,4,1049.0,Thane,Male,60,0.75,0.20988395358143258,0.6575342465753424,0
23,CUST1470,03-03-2024,Socks,Footwear,2,2990.0,Pune,Male,27,0.25,0.5982392957182873,0.2054794520547945,1
24,CUST2412,27-11-2024,Dress,Women'S Wear,2,3747.0,Delhi,Female,51,0.25,0.7496998799519808,0.5342465753424658,1
24,CUST2412,27-11-2024,Handbag,Accessories,5,2769.0,Nashik,Female,47,1.0,0.5540216086434574,0.4794520547945205,0
25,CUST0517,08-10-2024,Shirt,Topwear,5,4645.0,Bangalore,Male,36,1.0,0.9293717486994798,0.3287671232876712,0
25,CUST0517,10-08-2024,Tie,Accessories,4,3565.0,Thane,Female,44,0.75,0.7132853141256502,0.4383561643835616,0
25,CUST0517,10-08-2024,Jacket,Outerwear,3,1364.0,Nashik,Male,53,0.5,0.2729091636654662,0.5616438356164384,2
26,CUST1280,26-12-2024,Shirt,Topwear,2,4249.0,Thane,Male,32,0.25,0.8501400560224089,0.273972602739726,1
26,CUST1280,26-12-2024,Tie,Accessories,5,514.0,Thane,Male,41,1.0,0.10284113645458183,0.3972602739726027,0
27,CUST0286,25-05-2024,T-Shirt,Topwear,3,1588.0,Mumbai,Male,41,0.5,0.31772709083633455,0.3972602739726027,2
27,CUST0286,25-05-2024,Hoodie,Topwear,4,2536.0,Bangalore,Female,41,0.75,0.5074029611844738,0.3972602739726027,0
27,CUST0286,25-05-2024,Watch,Accessories,2,2768.0,Mumbai,Male,31,0.25,0.5538215286114446,0.2602739726027397,1
28,CUST1451,14-03-2024,Jacket,Outerwear,4,452.0,Bangalore,Female,47,0.75,0.09043617446978791,0.4794520547945205,0
28,CUST1451,14-03-2024,Scarf,Accessories,3,1020.0,Nashik,Male,45,0.5,0.20408163265306123,0.4520547945205479,2
29,CUST2089,17-07-2024,Scarf,Accessories,1,1498.0,Pune,Male,34,0.0,0.29971988795518206,0.3013698630136986,2
29,CUST2089,17-07-2024,Dress,Women'S Wear,5,2946.0,Thane,Female,58,1.0,0.5894357743097239,0.6301369863013698,0
30,CUST0315,22-10-2025,Socks,Footwear,5,4195.0,Bangalore,Female,50,1.0,0.8393357342937174,0.5205479452054794,0
30,CUST0315,22-10-2025,Belt,Accessories,3,2616.0,Mumbai,Female,42,0.5,0.5234093637454982,0.410958904109589,2
30,CUST0315,22-10-2025,Hoodie,Topwear,2,3029.0,Pune,Female,23,0.25,0.6060424169667867,0.1506849315068493,1
31,CUST2879,12-02-2025,Watch,Accessories,3,2829.0,Pune,Male,29,0.5,0.5660264105642256,0.2328767123287671,1
31,CUST2879,02-12-2025,Scarf,Accessories,5,608.0,Pune,Female,60,1.0,0.12164865946378552,0.6575342465753424,0
32,CUST1493,23-11-2025,Tie,Accessories,5,2258.0,Thane,Male,37,1.0,0.45178071228491395,0.3424657534246575,0
32,CUST1493,23-11-2025,Shorts,Bottomwear,2,1934.0,Delhi,Female,56,0.25,0.3869547819127651,0.6027397260273972,2
33,CUST2103,30-05-2024,Cap,Accessories,4,735.0,Pune,Female,43,0.75,0.14705882352941177,0.4246575342465753,0
33,CUST2103,30-05-2024,Scarf,Accessories,2,4141.0,Pune,Male,46,0.25,0.828531412565026,0.4657534246575342,1
34,CUST0977,05-03-2025,Shirt,Topwear,4,4690.0,Nashik,Female,19,0.75,0.938375350140056,0.0958904109589041,0
34,CUST0977,03-05-2025,Tie,Accessories,5,4756.0,Mumbai,Female,41,1.0,0.9515806322529011,0.3972602739726027,0
34,CUST0977,05-03-2025,T-Shirt,Topwear,1,3022.0,Bangalore,Male,26,0.0,0.6046418567426971,0.1917808219178082,1
35,CUST0152,27-10-2024,Sneakers,Footwear,3,2839.0,Bangalore,Male,50,0.5,0.5680272108843537,0.5205479452054794,1
